,text,intent
254,hic ngứa mà nổi hột hột mấy ngay nay roi ko het,4
255,c oi e mua chai nuoc hoa đỏ nhung bên c mà về xịt bị dị ứng z nè c,4
256,c ơi sao ko để sét 4 món này cho e,3
257,alo,0
258,gui e 2set nay nha c oie,6
259,tại có 1 món nên de e mua them roi ship luon đc k ạ,3
260,dạ vậy e lay set đồ,6
261,dạ nuoc hoa đỏ nhung 159k,2
262,e chôt set đồ voi nuoc hoa nha,6
263,còn nuoc hoa đỏ nhung ko gửi e luon ạ,3
264,set 4 món nay ne c oi,6
265,này con ko chot e luon ạ,3
266,c ơi lay e set này ạ,6
267,alo,0
268,lấy e thêm cai mắt kinh nay nua di c,6
269,dạ vậy ko có set trắng đổi cho e hả huhu,3
270,c ơi c ko gửi lại e cái set lỗi đen thành trắng hả c,3
271,c ơi,0
272,alo,0
273,alo c ơi,0
274,c oi e đật màu trang mà sao ra đen,4
275,ao trang này còn ko ạ e lay luon c,3
276,dạ ok lây cho e di ạ,6
277,có size ko c hay 1 cở,3
278,tổ 2 khu phố bến lớn thị trấn lai uyên huyện bàu bàng tỉnh bình dương,2
279,đầm trắng này còn ko ạ,3
280,cho e hỏi mẫu này còn ko e lấy ạ,3
281,đường trần quốc tuấn tp bến tre tỉnh bến tre,2
282,267 3a khu phố 3 phường 4,2
283,07 màu kem size m,6
284,shop gọi lai chốt đơn hàng dùm tr nhe,5
285,alo shop,0
286,còn áo nay k shop,3
287,e lấy them mẫu nay size s,6
288,alo,0
289,alo,0
290,hôm qua e co đặt 1 cái đầm giờ e muốn lấy thêm 1 cái đầm sọc zise s,6
291,alo,0
292,size l nha shop,6
293,sdtxxxxx,2
294,vậy ship c bộ đen nhé,6
295,xem sót bộ xanh nào k em nếu k cho c bộ đen thôi,3
296,hết xanh e hả huhu,3
297,xanh và vàng nha,3
298,check giúp c mẫu quần này còn k em,3
299,à bn á em,3
300,ok vậy e chốt c cái nhé,6
301,mẫu đen còn về hàng nữa k em,3
302,còn size nào e,3
303,xem giúp c 2 mã này còn k em,3
304,alo,0
305,xem mẫu này size m còn k e ơi,3
306,sao phiền phức vậy hả e cái đó c thấy đơn giản nội bộ tụi e tự xử lý với nhau được mà c cũng khách quen chứ phải lạ gì đâu mà sao buộc khách phải đợi chờ thế nhỉ mua hàng thêm chứ cũng chưa phải đổi trả gì nữa,4
307,ship c đầm hoa đó nhé dồn đơn với mã 06 live ngày 21 12 đó luôn giùm c,6
308,có size gì em ơi,3
309,size gì e,3
310,có size k e,3
311,mẫu này còn k shop,3
312,ship c bộ như hình nhez,6
313,c 1 bộ e nhé giá sao e he,3
314,có size gì em,3
315,mâuz này còn k em ơi,3
316,alo em,0
317,e ktra xem còn mẫu này kg bên e đã gọi chị chốt đơn rồi ấy nên có dồn đơn luôn giúp c,3
318,alo,0
319,xem giúp c mẫu này còn size s kg em,3
320,tổng bn e,3
321,giờ e đi c đơn váy len hồng đúng k,3
322,còn cho c cái hồng dồn đơn luôn e,6
323,áo len còn k,3
324,mẫu này còn màu đen k em,3
325,shop ship mẫu này cho c với nhé 495 nguyễn hữu thọ cẩm lệ đà nẵng,6
326,e xem set này còn k,3
327,mâuz trên giá sao e,3
328,vậy xem giùm c mẫu này còn k,3
329,alo,0
330,sét này mình còn k shop,3
331,note 2 mẫu đó khi nào có báo c được k,3
332,check ib giúp,5
333,alo em,0
334,check ib,5
335,alo,0
336,liên hệ tư vấn viên,5
337,set này còn k em ơi,3
338,xem giúp set này còn k em,3
339,alo,0
340,sao k ai trả lời ib vậy e,5
341,xem giúp chị mẫu này còn k,3
342,alo,0
343,mẫu này còn k shop ơi,3
344,mẫu này còn k shop nhận được tin nhắn reply nhanh nha,3
345,đây e ơi còn ship luôn cho c,6
346,bộ này còn k shop,3
347,còn k shop,3
348,còn k shop ơi,3
349,mẫu này còn k shop,3
350,liên hệ tư vấn viên,5
351,ok vậy ship luôn cho chị tổng 2 áo và đầm bn vậy e,3
352,ok c biết rồi ship c 2 áo nhé,6
353,nhận được tin nhắn reply giúp,5
354,đầm này nữa ship cho chị nhé,6
355,mẫu này còn áo đỏ đen k ship cho c với,3
356,495 nguyễn hữu thọ p khuê trung cẩm lệ đà nẵng sđtxxxxx,2
357,ship c 1 đầm hoa này nhé,6
358,liên hệ tư vấn viên,5
359,giá đầm 165k ah,3
360,ship chị 1 cái nhé,6
361,mẫu này còn k shop,3
362,liên hệ tư vấn viên,5
363,túi xách và mẫu như 2 hình sau còn k shop,3
364,mẫu này còn màu vàng size m kg shop,3
365,cho c cái trắng nhé khi hôm c có chốt 2 đơn hàng face nguyễn thảoxxxxx e gộp đơn cho chị luôn nhé,6
366,2 đầm màu vàng trong hình là chưa chốt trong live e nhé có bạn bên e mới gọi chốt đơn với chị rồi á,2
367,495 nguyễn hữu thọ đà nẵng nha,2
368,chốt cho c màu vàng 165k và màu đỏ 180k nhé dồn đơn với váy trắng rút dây 165k luôn giùm c,6
369,e xem giùm c 2 mẫu trong hìh còn k,3
370,alo shop,0
371,check ib,5
372,2 mẫu này còn hàng k nè,3
373,alo shop,0
374,2 mẫu này còn k shop ơi,3
375,bắt đầu,5
376,chi lay them m,6
377,size m e còn hok shop,3
378,46kg vừa size s dung hok em,3
379,12 mac đinh chi p đakao q 1,2
380,cho e dat nhe,6
381,hello shop,0
382,size s đen,6
383,mã 6 sie 29 xxxxx,6
384,c ơi lm ơn cho e mã quần này sie 29 ai,6
385,lấy bộ này nha,6
386,em lấy váy đỏ này,6
387,size l,2
388,l nha em,2
389,lấy trắng cho chi đi em,6
390,size l còn k shop,3
391,đam hồng này con k shop,3
392,liên hệ tư vấn viên,5
393,đầm hong này con k shop,3
394,còn thì gửi em với,6
395,áo này còn k shop,3
396,còn mẫu này k gửi e shop oi,3
397,nhiu vay e,3
398,này con k shop,3
399,c p ơi còn mẫu này k c,3
400,mẫu này con k shop,3
401,mẫu này còn k,3
402,get started,5
403,còn set này ko shop,3
404,set rời phải ko c,3
405,còn ship e set với ah,6
406,còn mẫu này ko ạ,3
407,2 màu áo ngực lúc tối live ạ,6
408,c ơi chốt cho e 2 màu áo ngực 34 với ạ,6
409,2 màu 34 áo ngực,6
410,39 hàm nghi hưng dũng tp vinh nghệ anxxxxx,2
411,get started,5
412,104 đường ung chiem phú hài phan thiết bình thuân sdtxxxxx,2
413,lay e tui đo đi chi,6
414,tui đa bao nh chi,3
415,con ko chi,3
416,co sz s k shop,3
417,may nay con k shop,3
418,gọi lại cho chị với nha,5
419,shop ơi,0
420,bùi thị bích giangxxxxx 131 chính hữu võ tánh vĩnh lương nha trang,2
421,sđtxxxxx,2
422,váy hồng đen,6
423,set hồng,6
424,shop ơi,0
425,shop ơi,0
426,chốt đơn cho em đu,6
427,em lấy màu vàng trắng nha,6
428,131 chính hữu võ tánh vĩnh lương nha trang khánh hoàxxxxx,2
429,cho em 2 màu trắng vàng,6
430,mẫu khoác len này còn ko chị,3
431,shop tl tn e với,5
432,khoác jean này còn ko shop,3
433,mẫu này còn ko chị ơi,3
434,chị ơi,0
435,131 chính hữu võ tánh vĩnh lương nha trang khánh hoàxxxxx,2
436,set áo kem quần trắng nãy e gửi hình là set này nè,2
437,đầm hoạ tiết này nữa,2
438,đầm bi vàng,6
439,set áo kem quần trắng,6
440,đầm hoa trắng,6
441,đầm vàng,6
442,1 đầm hoa này,6
443,1 trắng 1 đen,2
444,1 trắng 1 đưn,2
445,chị ơi,0
446,131 chính hữu võ tánh vĩnh lương nha trang khánh hoàxxxxx,2
447,chị ơi,0
448,cho e lấy mỗi màu 1 cái vs,6
449,2 set này còn ko,3
450,c ơi,0
451,khô i 3b tt eakar huyê n eakar ti nh sdtxxxxx,2
452,lâ y sai s nha,6
453,lâ y 2 ca i vay ma u đen nha,6
454,bn tiên vay shop,3
455,lâ y ma u den nha c,6
456,c ơi co a o bra ma u da chưa ak,3
457,c oi,0
458,khô i 3b tt eakar huyê n eakar ti nh daklak 9079237623,2
459,1cap 36 3 cai 34 nhan c,6
460,c ơi co n a o ngư c ko c ơi em lâ y 34 2cap 1cap 36 nha c,3
461,c oi,0
462,bắt đầu,5
463,nếu còn dư vàng m lấy cho c luôn nhé,6
464,chị chốt thêm 1set,5
465,nhờ nhân viên gọi lại giúp c nhé,5
466,hi shop,0
467,gọi lại cho mình nhé,5
468,25 54b1 hồ văn long tân tạo bình tânxxxxx,2
469,liên hệ tư vấn viên,5
470,liên hệ tư vấn viên,5
471,alo,0
472,báo giá 3 mẫu này em với,3
473,3 mẫu này còn hàng k shop,3
474,gọi lại dùm chị đi,5
475,em oi chốt chị cái đồng hồ đi chị lỡ mất cuộc gọi của em giờ gọi lại kg ai nghe máy,6
476,em oi,0
477,shop ơi,0
478,thiếu áo sơ mi trắng,4
479,alo,0
480,shop,0
481,đơn mới gọi lúc nãy là bao nhiêu tiền,3
482,bao nhiêu tiền,3
483,alo,0
484,alo,0
485,alo,0
486,shop o,0
487,alo sho0,0
488,chị,0
489,chị ơi,0
490,hi chị,0
491,alo,0
492,alo,0
493,alo,0
494,alo,0
495,alo ạ,0
496,alo ạ,0
497,sét áo sơ mi quần đen này còn ko ạ chốt e 1 sét do tối đó đặt comment nhiều lắm mà ko biết đã gọi tên chưa kiểm tra giúp e nhé shop chốt đơn gửi sớm giúp e e cảm ơn nhiều ạ và cả áo len hồng này nhé,3
498,mã áo 13 tối 22h 00 ngày 22 12 2020 e comment hoài mà ko thấy kêu tên shop kiểm tra nếu còn hàng màu nâu thì ship e 1 cái ạ hoặc đen nhé shop,6
499,hi ạ,0
500,shop gọi lại giúp nha,5
501,hi shop,0
502,1m63 49kg mặc sz s được không shop,3
503,quần mã 34 nay còn k shoo,3
504,chị lúc nãy bên shop chị gọi cho em chốt đơn mà em bận k nghe máy được chị chốt cho ê lại số điện thoạixxxxx ạ,5
505,gọi lại sốxxxxx chốt hàng vs ạ e mới ra ngoài,5
506,liên hệ tư vấn viên,5
507,mình còn set này k ạ,3
508,get started,5
509,gì mà kì cục thiệt bắt máy lên nói 1 hơi cái tắt,4
510,chốt hàng em chưa kịp nói gì hết thì đã tắt máy ngag rồi,4
511,chị ơi sao chuyến này nhân viên chốt hàng bị vô duyên quá vậy chị,4
512,check inbox shop ơi,5
513,check inbox nha shop ơi,5
514,trần mỹ tho ấp đầu giồng thị trấn trần đề huyện trần đề tỉnh sóc trăngxxxxx,2
515,hoa vàng và hoa tím,6
516,hoa vàng,6
517,nâuxxxxx,6
518,chốt bộ pjzama đỏ,6
519,bộ trái chuối cái quần màu đen hả shop còn bộ gucci đen ở trên còn ko ạh,3
520,sdtxxxxx,2
521,còn ko shop ơu,3
522,shop ơi rep ib em gấp ạ,5
523,và quần size 29 luôn ạ,2
524,shop ơi cho e hỏi màu sm màu nâu size m này còn k ạ,3
525,shop oi,0
526,tổng tiền của ch bao nhiêu vậy e,3
527,chuyển khoản trước đc freeship đúng ko ạ,3
528,shop ơi nãy gọi chốt đơn mà e bận ko nghe máy shop nhận đc tn báo nv gọi lại cho e nhé e gọi máy bận ko à,5
529,shop giao cái màu xanh nhé,6
530,địa chỉ 14 d phúc nhạc xã gia tân thống nhất đồng nai,2
531,màu xanh ak,2
532,shop con chân váy này ko,3
533,e cần liên hệ ạ,5
534,shop oi,0
535,shop ơi,0
536,để e 1 cái đi e ck luôn nè,6
537,shop còn váy nhue hình e gửi ko,3
538,nếu shop còn váy này lấy cho e 1 cái nâu nhé,6
539,váy này còn ko ch,3
540,bắt đầu,5
541,hôi nãy gọi chốt đơn mà em đang tắm gọi lại k dc có gì shop gọi lại giúp em bha,5
542,minh suong,2
543,mau e đat la đam nude vest ma goi nham đam nude tay bi,4
544,em đặt 1 sét như hình ạ,6
545,trần minh sương,2
546,198 nguyễn hội xuân an phan thiết bình thuận,2
547,e muon mua set nay co hàng k ạ,3
548,shop ơi,0
549,cho mình hỏi mẫu quần này bên mình còn ko shop,3
550,mã này bên mình còn ko shop,3
551,shop ơi,0
552,mã này shop mới live còn ko,3
553,shop ơi,0
554,mã 35,2
555,kính này lúc chiều live còn ko shop,3
556,nãy nhân viên gọi chốt đơn nếu còn mình lấy thêm mẫu này,6
557,mẫu này còn ko shop,3
558,shop ơi,0
559,mắt kiếng giống hình mình gửi đúng ko shop,3
560,nếu còn mình lấy thêm mẫu này nữa nha shop,6
561,giỏ này và kiếng bên shop còn ko ạ,3
562,bên mình còn nước hoa ko shop,3
563,vậy shop lấy cho mình áo này và áo hwa mình đặt nhé,6
564,áo còn ko shop,3
565,quần mình có màu khác ko ạ,3
566,áo trắng mình gửi nếu còn lấy cho mình giao chung với quần jean đã chốt shop nhé tks,6
567,liên hệ tư vấn viên,5
568,set này còn ko shop,3
569,shop cho mình hỏi mẫu áo khoác này bên shop còn ko,3
570,liên hệ tư vấn viên,5
571,bên shop còn mẫu áo khoác này ko shop,3
572,set này mình đặt 3 màu giao cho mình có 1 màu hồng ah,2
573,set này mình đặt 3 màu,2
574,set 2 dây mình đặt 3 set gọi chốt đơn cũng 3 set mà sao giao cho mình có 2 set vậy,4
575,shop ơi,0
576,set đó c đặt 3 set rồi e,2
577,bên e ko còn mẫu set nào na ná vậy hả,3
578,hồng và nude,6
579,shop ơi,0
580,hwa mình có đặt cái áo sơ mi shop giao chung với đơn hàng trước của mình luôn đc ko,0
581,shop ơi,0
582,shop lấy e cái quần này size s nha nãy e đặt hoài mà sao ko thấy đọc tên j hết,6
583,cho mình hỏi hôm bữa mình đặt mẫu áo sơ mi này mà ko thấy nv gọi đt chốt đơn vậy,3
584,shop ơi,0
585,túi này nè nha,6
586,02 set áo dài m lun,2
587,08 là set tây size m,2
588,báo gọi lại mình nha,5
589,shop báo chốt lại cho mình nhé,5
590,mi nh mo i bi nho cuo c go i shop go i la i giu p mi nh nhe,5
591,mi nh mo i bi nho cuo c go i shop go i la i giu p mi nh nhe,5
592,mình mới bị nhỡ cuộc gọi shop gọi lại giúp mình nhé,5
593,cho mình 1 đầm size m với ạ,6
594,2 mẫu này,6
595,nói bạn chiều hôm qua chốt đơn gọi lại giúp mình với,5
596,cho m 1 áo 08 hồng nhé,6
597,đổi dùm mình đầm này sang size m với ạ,7
598,m ko có 2 mã đó nhé giữ đơn mã 31 giúp mình,2
599,còn bộ này ko cho m 1 bộ với,6
600,còn set dubai trắng ko,3
601,gọi chốt lại hộ m nhé,5
602,cho mình 2 set size l,6
603,cho m 2 mẫu này với a,6
604,còn khoác 16 dạ sọc cho m cái,6
605,cho m xả bớt 1 túi 199 dc ko,8
606,m xem la i live do m ko nghe cho t tu i ro i ne n m cho t nha m the m 1 la n nu a cho m xa bớt 1 túi nâu dc ko ạ,8
607,m xem lại live do m ko nghe chốt túi rồi nên m chốt nhầm thêm 1 lần nữa cho m xả 1 túi nâu được ko ạ,8
608,quần 2 nút đó còn ko ạ,3
609,áo này còn ko ạ,3
610,cho m 1 áo này chốt đơn m chuyển khoản,6
611,m có kính nhận rồi xem dumg m áo còn ko,3
612,áo này màu kem như hình nhé,6
613,áo này còn thì cho m 1 cái,6
614,còn kính 05 cho m 1 cai nhe,6
615,còn áo trắng với khoác len này ko ạ,3
616,đầm này còn ko lấy cho m 1 cái lun m ck lun ạ,3
617,giờ ck 500k đúng ko ạ,3
618,còn đầm này ko mình lấy 1 cái có đơn hồi tối quần tây gom lun ạ,3
619,get started,5
620,đơn này nói tặng hop cơm cháy mà giao k có cơm cháy tặng shop ơi,3
621,sao c nghe có vậy còn k,3
622,thiếu bình nước mã 08 rồi shop,4
623,thiếu mã 08 bình nước rồi shop,4
624,mã 06 này con cho m 1 sét,6
625,nhận hàng rồi nhưng k có máy rửa mặt được tặng vậy shop,3
626,mã 06 đang live thêm 1 nha shop,6
627,sáng shop gọi dt mà bận k nghe được shop gọi lại dùm nhé,5
628,có 10 000 à,2
629,với 2 nịt bụng 2 màu s nữa nha,2
630,135k ck lúc 14h20 ngày 31 12,2
631,gửi hàng bị thiếu bộ cọ xanh chốt trong tn rùi shop,4
632,để chị một sét chị ck rùi giữ đơn giùm chị nha,6
633,còn bộ cọ 95k ko shop,3
634,z ck 51k nha e,2
635,290 239 51,2
636,e ơi hàng đó chị đổi wa cái khác hay trừ tiền ra đc ko e tại hôm bữa c mua 2 cái lận lấy về mặc ko đc bao lâu tróc da nữa,4
637,còn để c 1 cái với 2 sét bông phấn 79k,6
638,quần này 250k size m còn ko shop,3
639,áo mua chưa mặc mà bị tróc da có đổi trả gì đc ko e,7
640,đơn hàng ck từ ngày 9 tới h chưa nhận đc nữa shop,4
641,bra size 34 nha shop,2
642,1 sét 210 với 2 cái bra nữa,2
643,lấy chị 2 quần size m nha shop,6
644,mẫu quần jean size m 230k còn ko shop,3
645,quần jean size m 230k,6
646,mẫu này còn ko shop,3
647,mẫu áo khoác này còn ko shop,3
648,màu kem 169k,6
649,gửi thêm c mẫu này nữa,6
650,mấy mẫu này còn ko shop,3
651,e còn bra 34 màu da ko,3
652,mẫu này còn ko shop,3
653,để m 1 cái đồng hồ bbr nha shop 445,6
654,quần size m nha shop,6
655,mấy mẫu này còn ko shop,3
656,liên hệ tư vấn viên,5
657,liên hệ tư vấn viên,5
658,còn mấy mẫu này ko shop,3
659,mấy mẫu này còn ko shop,3
660,liên hệ tư vấn viên,5
661,có chốt trong tn ko z shop nt woai mà ko thấy trả lời gì hết z,5
662,mấy mẫu này còn ko shop,3
663,còn mấy mẫu này ko shop,3
664,bắt đầu,5
665,thêm cái này nữa nha shop,6
666,gửi m 2 mẫu này đi shop,6
667,gửi cho m mẫu này đi shop,6
668,váy này còn ko shop,3
669,áo này còn ko shop,3
670,mấy mẫu này có chua shop,3
671,mấy mẫu này còn ko shop,3
672,đầm này còn ko shop,3
673,hai áo này shop,6
674,con hàng ko bạn ơi,3
675,màu nào còn size l,3
676,màu kem size l,6
677,bắt đầu,5
678,minh đặt cái đồng hồ rolex nha nam,6
679,bên e con mẫu quần jean sz s nào ko e,3
680,mã quần này còn sz s ko shop,3
681,mã quần này còn sz s ko shop,3
682,đồng hồ mam con ko shop,3
